pkg,file,line,role,vendored,tier,kind,occurrences,name,name_hex,codepoints,valid_utf8,uax31,uax31_profile,invisible,nfc,scripts,mixed_script,multi_script,confusable_ascii,casefold_divergence,case_insensitive_role,uax31_offenders
lstrojny__functional-php,lstrojny__functional-php/tests/Functional/PartialAnyTest.php,17,function_decl,False,test_code,T_NAME_QUALIFIED,1,…,e280a6,1,True,False,False,,True,Other,False,False,,False,True,U+2026 HORIZONTAL ELLIPSIS
lstrojny__functional-php,lstrojny__functional-php/tests/Functional/PartialAnyTest.php,19,const_decl,False,test_code,T_NAME_QUALIFIED,1,…,e280a6,1,True,False,False,,True,Other,False,False,,False,False,U+2026 HORIZONTAL ELLIPSIS
lstrojny__functional-php,lstrojny__functional-php/tests/Functional/PartialAnyTest.php,25,other,False,test_code,T_STRING,11,…,e280a6,1,True,False,False,,True,Other,False,False,,False,False,U+2026 HORIZONTAL ELLIPSIS
lstrojny__functional-php,lstrojny__functional-php/src/Functional/Functional.php,329,const_decl,False,production,T_STRING,1,…,e280a6,1,True,False,False,,True,Other,False,False,,False,False,U+2026 HORIZONTAL ELLIPSIS
lstrojny__functional-php,lstrojny__functional-php/src/Functional/PartialAny.php,28,other,False,production,T_STRING,3,…,e280a6,1,True,False,False,,True,Other,False,False,,False,False,U+2026 HORIZONTAL ELLIPSIS
lstrojny__functional-php,lstrojny__functional-php/src/Functional/PartialAny.php,45,function_decl,False,production,T_STRING,1,…,e280a6,1,True,False,False,,True,Other,False,False,,False,True,U+2026 HORIZONTAL ELLIPSIS
nette__di,nette__di/src/Bridges/DITracy/dist/panel.phtml,55,other,False,production,T_VARIABLE,4,ʟ_tmp,ca9f5f746d70,5,True,True,True,,True,"Common,Latin",False,False,,False,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,17,class_decl,False,test_code,T_STRING,1,ApiАдресРФ,417069d090d0b4d180d0b5d181d0a0d0a4,10,True,True,True,,True,"Cyrillic,Latin",True,True,,True,True,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,17,other,False,test_code,T_STRING,1,ApiСостав,417069d0a1d0bed181d182d0b0d0b2,9,True,True,True,,True,"Cyrillic,Latin",True,True,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,25,other,False,test_code,T_VARIABLE,12,СубъектРФ,d0a1d183d0b1d18ad0b5d0bad182d0a0d0a4,9,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,32,other,False,test_code,T_NAME_FULLY_QUALIFIED,4,ApiСвРайМО,417069d0a1d0b2d0a0d0b0d0b9d09cd09e,10,True,True,True,,True,"Cyrillic,Latin",True,True,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,32,other,False,test_code,T_VARIABLE,8,СвРайМО,d0a1d0b2d0a0d0b0d0b9d09cd09e,7,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,39,other,False,test_code,T_VARIABLE,12,Город,d093d0bed180d0bed0b4,5,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,46,other,False,test_code,T_VARIABLE,12,ВнутригРайон,d092d0bdd183d182d180d0b8d0b3d0a0d0b0d0b9d0bed0bd,12,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,53,other,False,test_code,T_VARIABLE,12,НаселПункт,d09dd0b0d181d0b5d0bbd09fd183d0bdd0bad182,10,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,60,other,False,test_code,T_VARIABLE,12,Улица,d0a3d0bbd0b8d186d0b0,5,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,68,other,False,test_code,T_VARIABLE,9,ДопАдрЭл,d094d0bed0bfd090d0b4d180d0add0bb,8,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,89,property_or_method,False,test_code,T_STRING,1,setСубъектРФ,736574d0a1d183d0b1d18ad0b5d0bad182d0a0d0a4,12,True,True,True,,True,"Cyrillic,Latin",True,True,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,90,property_or_method,False,test_code,T_STRING,1,setСвРайМО,736574d0a1d0b2d0a0d0b0d0b9d09cd09e,10,True,True,True,,True,"Cyrillic,Latin",True,True,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,91,property_or_method,False,test_code,T_STRING,1,setГород,736574d093d0bed180d0bed0b4,8,True,True,True,,True,"Cyrillic,Latin",True,True,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,92,property_or_method,False,test_code,T_STRING,1,setВнутригРайон,736574d092d0bdd183d182d180d0b8d0b3d0a0d0b0d0b9d0bed0bd,15,True,True,True,,True,"Cyrillic,Latin",True,True,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,93,property_or_method,False,test_code,T_STRING,1,setНаселПункт,736574d09dd0b0d181d0b5d0bbd09fd183d0bdd0bad182,13,True,True,True,,True,"Cyrillic,Latin",True,True,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,94,property_or_method,False,test_code,T_STRING,1,setУлица,736574d0a3d0bbd0b8d186d0b0,8,True,True,True,,True,"Cyrillic,Latin",True,True,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,95,property_or_method,False,test_code,T_STRING,1,setДопАдрЭл,736574d094d0bed0bfd090d0b4d180d0add0bb,11,True,True,True,,True,"Cyrillic,Latin",True,True,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,104,function_decl,False,test_code,T_STRING,1,getСубъектРФ,676574d0a1d183d0b1d18ad0b5d0bad182d0a0d0a4,12,True,True,True,,True,"Cyrillic,Latin",True,True,,True,True,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,106,property_or_method,False,test_code,T_STRING,3,СубъектРФ,d0a1d183d0b1d18ad0b5d0bad182d0a0d0a4,9,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,115,function_decl,False,test_code,T_STRING,1,setСубъектРФ,736574d0a1d183d0b1d18ad0b5d0bad182d0a0d0a4,12,True,True,True,,True,"Cyrillic,Latin",True,True,,True,True,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,136,function_decl,False,test_code,T_STRING,1,getСвРайМО,676574d0a1d0b2d0a0d0b0d0b9d09cd09e,10,True,True,True,,True,"Cyrillic,Latin",True,True,,True,True,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,138,property_or_method,False,test_code,T_STRING,3,СвРайМО,d0a1d0b2d0a0d0b0d0b9d09cd09e,7,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,147,function_decl,False,test_code,T_STRING,1,setСвРайМО,736574d0a1d0b2d0a0d0b0d0b9d09cd09e,10,True,True,True,,True,"Cyrillic,Latin",True,True,,True,True,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,164,function_decl,False,test_code,T_STRING,1,getГород,676574d093d0bed180d0bed0b4,8,True,True,True,,True,"Cyrillic,Latin",True,True,,True,True,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,166,property_or_method,False,test_code,T_STRING,3,Город,d093d0bed180d0bed0b4,5,True,True,True,,True,Cyrillic,False,False,,True,False,
wsdltophp__packagegenerator,wsdltophp__packagegenerator/tests/resources/generated/ValidAddress.php,175,function_decl,False,test_code,T_STRING,1,setГород,736574d093d0bed180d0bed0b4,8,True,True,True,,True,"Cyrillic,Latin",True,True,,True,True,
