pkg,file,line,role,vendored,kind,occurrences,name,name_hex,codepoints,valid_utf8,uax31,uax31_profile,invisible,nfc,scripts,mixed_script,multi_script,confusable_ascii,casefold_divergence,case_insensitive_role,uax31_offenders
star7th__showdoc,star7th__showdoc/server/tests/mcp/runapi_test.php,364,other,False,T_VARIABLE,1,runapiPageId，实际,72756e617069506167654964efbc8ce5ae9ee99985,15,True,False,False,,True,"Cjk,Latin,Other",False,True,,False,False,U+FF0C FULLWIDTH COMMA
star7th__showdoc,star7th__showdoc/server/tests/mcp/mcp_test.php,994,other,False,T_VARIABLE,1,specialContent，实际,7370656369616c436f6e74656e74efbc8ce5ae9ee99985,17,True,False,False,,True,"Cjk,Latin,Other",False,True,,False,False,U+FF0C FULLWIDTH COMMA
FreshRSS__FreshRSS,FreshRSS__FreshRSS/app/Controllers/feedController.php,522,other,False,T_VARIABLE,3,ε,ceb5,1,True,True,True,,True,Greek,False,False,,False,False,
linuxserver__Heimdall,linuxserver__Heimdall/vendor/squizlabs/php_codesniffer/src/Standards/Generic/Tests/CodeAnalysis/UselessOverridingMethodUnitTest.1.inc,72,function_decl,True,T_STRING,1,differentCaseSameNonAnsiiCharáctêrs,646966666572656e744361736553616d654e6f6e416e73696943686172c3a16374c3aa7273,35,True,True,True,,True,Latin,False,False,,False,True,
linuxserver__Heimdall,linuxserver__Heimdall/vendor/squizlabs/php_codesniffer/src/Standards/Generic/Tests/CodeAnalysis/UselessOverridingMethodUnitTest.1.inc,74,static_member,True,T_STRING,1,DIFFERENTcaseSameNonAnsiiCharáctêrs,444946464552454e546361736553616d654e6f6e416e73696943686172c3a16374c3aa7273,35,True,True,True,,True,Latin,False,False,,False,False,
linuxserver__Heimdall,linuxserver__Heimdall/vendor/squizlabs/php_codesniffer/src/Standards/Generic/Tests/CodeAnalysis/UselessOverridingMethodUnitTest.1.inc,77,function_decl,True,T_STRING,1,differentCaseDifferentNonAnsiiCharáctêrs,646966666572656e7443617365446966666572656e744e6f6e416e73696943686172c3a16374c3aa7273,40,True,True,True,,True,Latin,False,False,,False,True,
linuxserver__Heimdall,linuxserver__Heimdall/vendor/squizlabs/php_codesniffer/src/Standards/Generic/Tests/CodeAnalysis/UselessOverridingMethodUnitTest.1.inc,79,static_member,True,T_STRING,1,DIFFERENTcaseDifferentNonAnsiiCharÁctÊrs,444946464552454e5463617365446966666572656e744e6f6e416e73696943686172c3816374c38a7273,40,True,True,True,,True,Latin,False,False,,True,False,
linuxserver__Heimdall,linuxserver__Heimdall/vendor/squizlabs/php_codesniffer/tests/Core/Tokenizers/PHP/HeredocNowdocTest.inc,14,heredoc_label,True,T_START_HEREDOC,1,😬,f09f98ac,1,True,False,False,,True,Other,False,False,,False,False,U+1F62C GRIMACING FACE
linuxserver__Heimdall,linuxserver__Heimdall/vendor/squizlabs/php_codesniffer/tests/Core/Tokenizers/PHP/NamedFunctionCallArgumentsTest.inc,70,other,True,T_VARIABLE,1,💩💩💩,f09f92a9f09f92a9f09f92a9,3,True,False,False,,True,Other,False,False,,False,False,U+1F4A9 PILE OF POO; U+1F4A9 PILE OF POO; U+1F4A9 PILE OF POO
linuxserver__Heimdall,linuxserver__Heimdall/vendor/squizlabs/php_codesniffer/tests/Core/Tokenizers/PHP/NamedFunctionCallArgumentsTest.inc,70,other,True,T_VARIABLE,1,Пасха,d09fd0b0d181d185d0b0,5,True,True,True,,True,Cyrillic,False,False,,True,False,
linuxserver__Heimdall,linuxserver__Heimdall/vendor/squizlabs/php_codesniffer/tests/Core/Tokenizers/PHP/NamedFunctionCallArgumentsTest.inc,72,other,True,T_STRING,1,💩💩💩,f09f92a9f09f92a9f09f92a9,3,True,False,False,,True,Other,False,False,,False,False,U+1F4A9 PILE OF POO; U+1F4A9 PILE OF POO; U+1F4A9 PILE OF POO
linuxserver__Heimdall,linuxserver__Heimdall/vendor/squizlabs/php_codesniffer/tests/Core/Tokenizers/PHP/NamedFunctionCallArgumentsTest.inc,72,other,True,T_STRING,1,Пасха,d09fd0b0d181d185d0b0,5,True,True,True,,True,Cyrillic,False,False,,True,False,
linuxserver__Heimdall,linuxserver__Heimdall/vendor/symfony/cache/Traits/ValueWrapper.php,19,class_decl,True,T_STRING,1,<invalid utf-8>,a9,0,False,False,False,,False,,False,False,,False,True,
helloqingfeng__Awsome-Front-End-learning-resource,helloqingfeng__Awsome-Front-End-learning-resource/04-Front-end-tutorial-master/README/README.php,628,other,False,T_STRING,1,　　1,e38080e3808031,3,True,False,False,U+3000 IDEOGRAPHIC SPACE; U+3000 IDEOGRAPHIC SPACE,True,Common,False,False,,False,False,U+3000 IDEOGRAPHIC SPACE; U+3000 IDEOGRAPHIC SPACE
xhadmincn__FastMovieAI,xhadmincn__FastMovieAI/fastmovie-admin/vendor/symfony/cache/Traits/ValueWrapper.php,19,class_decl,True,T_STRING,1,<invalid utf-8>,a9,0,False,False,False,,False,,False,False,,False,True,
simikraemer__WEH,simikraemer__WEH/PHP/Kasse.php,395,other,False,T_VARIABLE,2,gekürzte_beschreibung,67656bc3bc727a74655f626573636872656962756e67,21,True,True,True,,True,"Common,Latin",False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/Schluessel.php,129,other,False,T_VARIABLE,9,schlüsselraumdaten,7363686cc3bc7373656c7261756d646174656e,18,True,True,True,,True,Latin,False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/Kassenwart.php,30,other,False,T_VARIABLE,2,sum_beiträge,73756d5f6265697472c3a46765,12,True,True,True,,True,"Common,Latin",False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/Kassenwart.php,112,other,False,T_VARIABLE,4,anzahlgefährdeteuser,616e7a61686c676566c3a468726465746575736572,20,True,True,True,,True,Latin,False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/Kassenwart.php,120,other,False,T_VARIABLE,2,userbeiträge,757365726265697472c3a46765,12,True,True,True,,True,Latin,False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/Kassenwart.php,145,other,False,T_VARIABLE,3,nächsterMonat,6ec3a46368737465724d6f6e6174,13,True,True,True,,True,Latin,False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/Kassenwart.php,146,other,False,T_VARIABLE,3,nächstesJahr,6ec3a46368737465734a616872,12,True,True,True,,True,Latin,False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/Kassenwart.php,224,other,False,T_VARIABLE,3,rücklagen_haus,72c3bc636b6c6167656e5f68617573,14,True,True,True,,True,"Common,Latin",False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/Kassenwart.php,225,other,False,T_VARIABLE,3,rücklagen_netz,72c3bc636b6c6167656e5f6e65747a,14,True,True,True,,True,"Common,Latin",False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/template.php,1792,other,False,T_VARIABLE,2,blätter,626cc3a474746572,7,True,True,True,,True,Latin,False,False,,False,False,
simikraemer__WEH,simikraemer__WEH/PHP/Printer.php,799,other,False,T_VARIABLE,4,blätter,626cc3a474746572,7,True,True,True,,True,Latin,False,False,,False,False,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,29,function_decl,False,T_STRING,1,test_認証済みユーザーは取引先一覧を閲覧できる,746573745fe8aa8de8a8bce6b888e381bfe383a6e383bce382b6e383bce381afe58f96e5bc95e58588e4b880e8a6a7e38292e996b2e8a6a7e381a7e3818de3828b,25,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,89,function_decl,False,T_STRING,1,test_認証済みユーザーは取引先作成フォームを閲覧できる,746573745fe8aa8de8a8bce6b888e381bfe383a6e383bce382b6e383bce381afe58f96e5bc95e58588e4bd9ce68890e38395e382a9e383bce383a0e38292e996b2e8a6a7e381a7e3818de3828b,29,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,100,function_decl,False,T_STRING,1,test_未認証ユーザーは取引先作成フォームを閲覧できない,746573745fe69caae8aa8de8a8bce383a6e383bce382b6e383bce381afe58f96e5bc95e58588e4bd9ce68890e38395e382a9e383bce383a0e38292e996b2e8a6a7e381a7e3818de381aae38184,29,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,111,function_decl,False,T_STRING,1,test_認証済みユーザーは取引先の新規登録ができる,746573745fe8aa8de8a8bce6b888e381bfe383a6e383bce382b6e383bce381afe58f96e5bc95e58588e381aee696b0e8a68fe799bbe98cb2e3818ce381a7e3818de3828b,26,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,127,function_decl,False,T_STRING,1,test_未認証ユーザーは取引先の新規作成ができない,746573745fe69caae8aa8de8a8bce383a6e383bce382b6e383bce381afe58f96e5bc95e58588e381aee696b0e8a68fe4bd9ce68890e3818ce381a7e3818de381aae38184,26,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,143,function_decl,False,T_STRING,1,test_認証済みユーザーは取引先の閲覧ができる,746573745fe8aa8de8a8bce6b888e381bfe383a6e383bce382b6e383bce381afe58f96e5bc95e58588e381aee996b2e8a6a7e3818ce381a7e3818de3828b,24,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,162,function_decl,False,T_STRING,1,test_認証済みAdminユーザーは取引先編集ページを閲覧できる,746573745fe8aa8de8a8bce6b888e381bf41646d696ee383a6e383bce382b6e383bce381afe58f96e5bc95e58588e7b7a8e99b86e3839ae383bce382b8e38292e996b2e8a6a7e381a7e3818de3828b,33,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,177,function_decl,False,T_STRING,1,test_未認証ユーザーはユーザー取引先編集ページを閲覧できない,746573745fe69caae8aa8de8a8bce383a6e383bce382b6e383bce381afe383a6e383bce382b6e383bce58f96e5bc95e58588e7b7a8e99b86e3839ae383bce382b8e38292e996b2e8a6a7e381a7e3818de381aae38184,32,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,192,function_decl,False,T_STRING,1,test_連絡先データを持つ取引先は削除できない,746573745fe980a3e7b5a1e58588e38387e383bce382bfe38292e68c81e381a4e58f96e5bc95e58588e381afe5898ae999a4e381a7e3818de381aae38184,24,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,207,function_decl,False,T_STRING,1,test_認証済みユーザーは連絡先を持たない取引先を削除できる,746573745fe8aa8de8a8bce6b888e381bfe383a6e383bce382b6e383bce381afe980a3e7b5a1e58588e38292e68c81e3819fe381aae38184e58f96e5bc95e58588e38292e5898ae999a4e381a7e3818de3828b,31,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/CustomerControllerTest.php,218,function_decl,False,T_STRING,1,test_未認証ユーザーは取引先を削除できない,746573745fe69caae8aa8de8a8bce383a6e383bce382b6e383bce381afe58f96e5bc95e58588e38292e5898ae999a4e381a7e3818de381aae38184,23,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/UserControllerTest.php,34,function_decl,False,T_STRING,1,test_認証済みユーザーはユーザー一覧を閲覧できる,746573745fe8aa8de8a8bce6b888e381bfe383a6e383bce382b6e383bce381afe383a6e383bce382b6e383bce4b880e8a6a7e38292e996b2e8a6a7e381a7e3818de3828b,26,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/UserControllerTest.php,84,function_decl,False,T_STRING,1,test_検索キーワードに一致するユーザーのみが表示される,746573745fe6a49ce7b4a2e382ade383bce383afe383bce38389e381abe4b880e887b4e38199e3828be383a6e383bce382b6e383bce381aee381bfe3818ce8a1a8e7a4bae38195e3828ce3828b,29,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
mierudayo__flagship,mierudayo__flagship/src/tests/Feature/UserControllerTest.php,106,function_decl,False,T_STRING,1,test_未認証ユーザーはユーザー一覧を閲覧できない,746573745fe69caae8aa8de8a8bce383a6e383bce382b6e383bce381afe383a6e383bce382b6e383bce4b880e8a6a7e38292e996b2e8a6a7e381a7e3818de381aae38184,26,True,True,True,,True,"Cjk,Common,Hiragana,Katakana,Latin,Other",False,True,,False,True,
